index,name,summary,genre,subgenre,home,audio,title_and_location,date,event_time,venue
1467,Robert Johnson and the Memphis Mafia,"            MEMPHIS GUITARIST ROBERT JOHNSON HERALDS NEW ALBUM COVER ART
     NEON FRONT-AND-BACK ALBUM COVERS DESIGNED BY BEATLES ILLUSTRATOR               ALAN ALDRIDGE 
                         THE MAN BEHIND THE”BEATLES ILLUSTRATED LYRICS” BOOK     
Alan Aldridge, who passed away February 17, 2017, is known as “The Father of Rock And Roll Art”. His illustrations and art images are renowned worldwide. Back in 2014, Alan started working on the new album cover design as a favor to his friend, Robert Johnson – world class guitarist/producer/writer. Now, with the eminent release of the album, Johnson’s “I’m Alive” - highlighted by Alan Aldridge’s front-and-back neon illustrations - will be released on in mid-March 2019 by the southern California-based Burger Records label. Alan Aldridge’s signature also graces the back cover. “I’m Alive”, partially recorded at Abbey Road Studios, features Mick Taylor (Rolling Stones) Jimmy Davis and Jimi Jamison (Survivor). 
The Burger Records’ accompanying release #2 is in tandem with the 40th anniversary of Robert Johnson’s debut solo album “Close Personal Friend”.  Its re-release delivers a one-two album punch. The “Burger – Johnson dual release”
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Brand Partnership",Rock,Power Pop,"Memphis, TN",http://audio.sxsw.com/2019/mp3_by_artist_id/41a07a47b35489fa3c0b795a6d62f3388c775ecf1750d3e821e8ca662d01e73f.mp3,Robert Johnson and the Memphis Mafia at Hotel Vegas Patio,"Mar 16, 2019",11:45pm-12:15am,Hotel Vegas Patio
1468,Robinson,"Nelson born pop artist, Robinson, has had the year of life. Having spent most of 2018 writing and performing in the US, UK, Europe and Australia her feet have barely touched the ground. Still only 22 years of age, the New Zealander has over 60 million streams to her name to date. Single ‘Nothing To Regret’ brought Robinson international acclaim, being championed by Zane Lowe at Beats 1 and supported on BBC Radio 1 in the UK. The single’s official video has surpassed 1.5 million views on YouTube. Robinson has also recently received two nominations at this year’s Vodafone NZ Music Awards, for Breakthrough Artist of the Year and Single of the Year. 
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Pop,Singer-Songwriter,"Nelson, NEW ZEALAND",http://audio.sxsw.com/2019/mp3_by_artist_id/ac8cf4a792f4d2d1c7a65b71c108f885d3a4692ee66d7e76b9d1b5ff16aca5d3.mp3,Robinson at Empire Garage,"Mar 13, 2019",9:00pm-9:40pm,Empire Garage
1469,Rob Markman,"Hip-hop fans may know Rob Markman as an esteemed journalist who has interviewed artists like Kendrick Lamar, Jay Z, Nicki Minaj, Drake and Wiz Khalifa. But now, the Brooklyn native is fulfilling his dream of becoming an artist himself.
Markman's debut rap project, Write To Dream, is an impressive entry into the game with his expert wordplay and vivid storytelling. Tracks like ""I Don't Wanna Wait"" observes life in the inner city in the way that Nas did on his classic debut Illmatic. 
""Fredo"" reimagines the classic mob film ""The Godfather"" and on ""Writer"" artists like DJ Khaled, Royce da 5'9"", DJ Drama and N.O.R.E. praise Rob for taking the leap from journalist to artist; while he still holds his position at Genius. 
Since releasing his debut project, Rob has been featured on New York's Hot 97 and Power 105, as well as Beats 1 Radio. He's been interviewed on CNBC and Fox 5, as well. He has performed at Barclays Center with Logic and opened for 2 Chainz on his Pretty Girls Like Trap Music Tour.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Distribution - US, Booking Agent - US, Publishing, Sync/Music Supervisors",Hip-Hop / Rap,Hip-Hop,"Brooklyn, NY",,Rob Markman at Empire Control Room,"Mar 15, 2019",10:20pm-10:35pm,Empire Control Room
1470,Robot Koch x Delhia de France,"Delhia de France and Robot Koch both perform and release as solo artists while closely working together on music since 2013 between their bases Los Angeles and Berlin. Their collaborations have been released on labels such as Modeselektor’s Monkeytown Records, Solomun’s Dyinamic Records as well as Robots own imprint Trees and Cyborgs.
Koch's organic sound described by John Peel as “wonderful and strange - pop music from the future“ fused with Delhia's hauntingly ethereal voice sounding „like a sequined razor blade“ and charismatic stage presence becomes a delicate amalgamation of their talents both in the studio as well as live. As a duo, they have played international stages from clubs to festivals like Splash! and RBMA Weekender Warsaw as well as supporting Modeselektor in the US.
Their deep and cinematic music lends itself to picture and has been used on various US TV shows and Hollywood movie trailers.
2018 saw them working on Delhia's solo debut „Moirai EP“ and Robot putting out his latest album Sphere along with an immersive fulldome live show.
For SXSW2019 Robot and Delhia have prepared a live set with their epic to ethereal cinematic pop songs that are sure to be mesmerizing.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Brand Partnership, Other Artists to Tour With, Booking Agent - US, Booking Agent - UK/Europe, Booking Agent - Worldwide, PR/Publicity Agency, Sync/Music Supervisors",Pop,Electronic,"Berlin, GERMANY",http://audio.sxsw.com/2019/mp3_by_artist_id/19aa13783639259fdf5a21cd361334b0767d4fdbf323d6a2f667516cd7ea2153.mp3,Robot Koch x Delhia de France at Graeber House,"Mar 12, 2019",8:00pm-8:40pm,Graeber House
1471,Robot Nature,"Award-winning band, ROBOT NATURE is a synthesis of EDM, Modern Pop and Synth Rock. Although they have been described as the new Muse, Maroon 5, or Imagine Dragons…their catchy pop melodies, modern electronic sounds, and DPAK’s tenor vocals, interwoven with electrified violin and acoustic guitar give ROBOT NATURE its own original sound.  After two years of live performances and fresh from their critically acclaimed show at 2018’s BURNING MAN festival, ROBOT NATURE dove into the studio with mega-hitmaker Andrew Wuepper (Katy Perry, Justin Bieber, Rihanna, John Legend) to record their long-awaited first EP.  Malibu-based ROBOT NATURE has won awards for “Best Pop Song”, “Best New Artist”, “Best Live Video”, and “Best Male Vocal” while being acknowledged as one of the Top Unsigned Artists in major music publications. Look for Robot Nature coming to a city near you.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Other Artists to Tour With",Rock,Electronic,"Los Angeles, TX",,Robot Nature at Doris Miller Auditorium,"Mar 15, 2019",8:30pm-8:45pm,Doris Miller Auditorium
1472,Rocky Banks,"Rakeem Ishmauel Mahammad Williams (born on February 19, 1994), better known by his stage name Rocky Banks, is an American alternative Hip-Hop music artist from Houston, TX. Banks began to gain recognition following the late 2015/early 2016 release of his first solo album, In Other News I Don’t Do Drugs Anymore, which first introduced the artist’s personal hardships and his acceptance of drug addiction. Following the release of this project, Banks received cosigns from The Fader, Hip-Hop DX, Los Angles Leakers, & Revolt TV, Beats1 Radio, Ebro Darden. In early 2017, Banks return with a sophomore project titled Trust In Banko, pulling in over 80,000 hits on Livemixtapes. Upon release of his third album Big Little Brother on February 5th, 2018, Banks has been rapidly releasing singles such as ""Ambience"", ""Lessons"" & ""Adapt"" leading into his now fourth album. Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Hip-Hop / Rap,Hip-Hop / Rap,"Houston, TX",,Rocky Banks at The Main II,"Mar 14, 2019",9:45pm-9:55pm,The Main II
1473,Roddie Romero Trio,No description provided for artist.,Blues,Zydeco,"Lafayette, LA",,Roddie Romero Trio at Antone’s,"Mar 15, 2019",12:00am-12:40am,Antone’s
1474,Rod Melancon,"Like the soundtrack to a movie that doesn’t yet exist, Rod Melancon’s Pinkville whips up a world filled with shellshocked war veterans, gun-wielding rock & rollers, and other down-on-their-luck characters, mixing cinematic details and electric guitars into its own version of greasy, gothic Americana.
Pulling everything together is Melancon himself: a southern songwriter and storyteller rooted in the oral tradition of Cormac McCarthy and Larry Brown. His songs are dark and detailed, and his voice — which veers between a spoken-word delivery, a croon, and a rough-edged howl — is every bit as diverse as the material it delivers. Pinkville, his fourth release, makes plenty of room for that diversity. There are psychedelic soul songs, Rolling Stones-inspired rockers, tributes to icons like Freddy Fender and Tom Petty, and a cover of Bruce Springsteen’s “57 Channels (And Nothin’ On),” all captured in analog sound by co-producers Adrian Quesada and Will Walden.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Management",Rock,Americana,"Wright, LA",http://audio.sxsw.com/2019/mp3_by_artist_id/1e175ff699d31aeaa4a479c478c5bb68d7a30543e5f9dcd8bc49c50a57049ffa.mp3,Rod Melancon at Lamberts,"Mar 15, 2019",8:00pm-8:40pm,Lamberts
1475,ROE,"ROE is 19-year-old multi-instrumentalist from Derry (Ireland), Roisin Donald. Laying down her unique brand of self-styled “Grumpy Electro-Pop”, she has been blazing a trail for young female indie artists across Ireland, UK, Europe and beyond. 
Between winning ""Best Emerging Act"" at the 2019 Northern Ireland Music Prize and touring the UK with Snow Patrol on their arena tour, 2019 has started brightly for the 19 year old songwriter. Included on RTE2FMs 2019 ""Rising"" list, and Huw Stephens ""Introducing Tips for 2019"" and with upcoming support slots with Snow Patrol, The Coronas and Tom Odell, ROE continues to add to her already impressive CV which includes performances at Glastonbury (BBC Introducing Stage), The Great Escape, Reeperbahn, M for Montreal, Eurosonic, Primavera and NH7 (India).
Taking dark and personal themes and projecting them through a lens of upbeat shiny pop, ROE possesses an ability to tell relatable stories that is far beyond her years. It is this very ability that has seen her music played across UK and Irish radio as well as earning her a nomination for ""Best Single"" at the Northern Ireland Music Prize in 2018.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Label, Gear Endorsement, Distribution - UK/Europe, Distribution - Worldwide, Other Artists to Tour With, Publishing, Sync/Music Supervisors",Pop,Electronic,"Derry, UK-N. IRELAND",http://audio.sxsw.com/2019/mp3_by_artist_id/1711dc6a67fc759ba25c30f82a078fe432cd6dc788ad68be04b69569c7919f65.mp3,ROE at British Music Embassy @ Latitude 30,"Mar 14, 2019",2:10pm-2:40pm,British Music Embassy @ Latitude 30
1476,ROLO MX,"((Roberto M. Polo)) Ex lead singer and composer of 60 Tigres, now he's working in a new project  ROLOMX an independent band with a Latin Pop, Dream Pop, and alternative sound   Nowdays they are working in a new album  ""Ataraxia"" in 2019, for now they are planing a tour in Mexico and USA
ROLO has a lot of colaborations and diferent shows, He is the founder of the Band 60 TIGRES and the lead singer, he alse played the bass in that band for 13 years. He had a long carreer in this proyect  performing in events like:  SXSW 2008, 2009 & 2015 (Austin, TX),  Festival MySpace Latino (Chicago, IL), SPI Music Fest (Isla del Padre, TX), NACOTHEQUE (Houston, TX), Automático (Los Angeles, CA), 1er Hellow Fest, Festival de las Juventudes (Zocalo Df), Corona Capital, KEXP Seatle 2016 Sesión ""60 tigres""(Mty, NL), entre otros escenarios tales como; Hellow Fest 2008 & 2013 (Mty), The Compound (Austin, TX), The Mink (Chicago, IL), etc. Teloneros de Babasónicos (Chicago, Il), ha participado en  conciertos de Pixies, The Whitest Boy Alive,  DeLorean, Ghostland Observatory, Metronomy, Ariel Pink, etc. 
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Brand Partnership",Latin Rock,Dream Pop,"Monterrey, MEXICO",http://audio.sxsw.com/2019/mp3_by_artist_id/55a9b233ec44ebfb8dfb44b6da234b390638862b1ff4fe330f78bff50aad0f3a.mp3,ROLO MX at Seven Grand,"Mar 15, 2019",8:00pm-8:40pm,Seven Grand
